Obs,city,street,streetNumber,delivery_company,purchase_month,purchase_day,purchase_hour,purchase_weekday,delivery_month,delivery_day,delivery_hour,delivery_weekday,shipping_time_in_hours,category
2378,Warszawa,al. Reja,71,C360,VI,22,13,Sunday,VI,25,3,Wednesday,62,Odtwarzacze DVD
2379,Radom,ul. Prusa,49,C516,III,11,23,Tuesday,III,14,13,Friday,62,Odtwarzacze DVD
2380,Kutno,pl. Plater,12,C360,IV,19,10,Saturday,IV,19,22,Saturday,12,Odtwarzacze DVD
2381,Gdynia,pl. Lubelska,7,C360,III,1,13,Saturday,III,3,22,Monday,58,Odtwarzacze DVD
2382,Gdynia,pl. Lubelska,7,C516,V,26,23,Monday,V,29,4,Thursday,53,Odtwarzacze DVD
2383,Police,ul. Sosnowa,967,C620,IV,2,17,Wednesday,IV,7,0,Monday,102,Odtwarzacze DVD
2384,Konin,ul. Orzechowa,54,C516,VII,17,0,Thursday,VII,19,16,Saturday,64,Odtwarzacze DVD
2385,Konin,pl. Rumiankowa,1,C360,V,1,13,Thursday,V,3,23,Saturday,59,Odtwarzacze DVD
2386,Warszawa,al. Stawowa,962,C360,X,13,8,Monday,X,16,15,Thursday,79,Odtwarzacze DVD
2387,Warszawa,al. Stawowa,962,C360,II,10,0,Sunday,II,11,11,Monday,35,Odtwarzacze DVD
2388,Police,ul. Sosnowa,967,C620,IX,27,4,Saturday,IX,29,15,Monday,59,Odtwarzacze DVD
2389,Radom,ul. Orzeszkowej,96,C516,II,12,9,Tuesday,II,14,14,Thursday,53,Odtwarzacze DVD
2390,Gdynia,pl. Lubelska,7,C360,X,5,2,Sunday,X,5,6,Sunday,4,Odtwarzacze DVD
2391,Konin,al. zytnia,11,C360,VII,24,11,Thursday,VII,25,22,Friday,35,Odtwarzacze DVD
2392,Konin,al. zytnia,11,C360,IX,2,10,Tuesday,IX,2,20,Tuesday,10,Odtwarzacze DVD
2393,Police,al. Sawickiej,72,C620,IX,12,8,Friday,IX,13,7,Saturday,22,Odtwarzacze DVD
2394,Warszawa,pl. Jasna,53,C360,VI,17,16,Tuesday,VI,22,11,Sunday,115,Odtwarzacze DVD
2395,Gdynia,al. Torowa,43,C516,I,21,2,Monday,I,21,3,Monday,2,Odtwarzacze DVD
2396,Gdynia,al. Torowa,43,C360,III,13,11,Thursday,III,16,9,Sunday,70,Odtwarzacze DVD
2397,Kutno,pl. Wroclawska,571,C620,VIII,23,16,Saturday,VIII,25,6,Monday,38,Odtwarzacze DVD
2398,Szczecin,pl. Slowianska,29,C620,III,24,2,Monday,III,25,22,Tuesday,44,Odtwarzacze DVD
2399,Szczecin,pl. Powstancow slaskich,67,C516,IV,23,22,Wednesday,IV,25,20,Friday,46,Odtwarzacze DVD
2400,Szczecin,pl. Wschodnia,654,C516,IV,10,4,Thursday,IV,13,9,Sunday,77,Odtwarzacze DVD
2401,Szczecin,pl. Powstancow slaskich,67,C620,II,27,20,Wednesday,III,1,19,Saturday,71,Odtwarzacze DVD
2402,Police,ul. Storczykowa,88,C360,IV,17,1,Thursday,IV,17,4,Thursday,3,Odtwarzacze DVD
2403,Kutno,pl. Wroclawska,571,C360,II,22,10,Friday,II,23,21,Saturday,35,Odtwarzacze DVD
2404,Radom,al. Kosynierow,94,C360,VII,6,7,Sunday,VII,8,22,Tuesday,64,Odtwarzacze DVD
2405,Police,ul. Storczykowa,88,C516,III,15,20,Saturday,III,21,4,Friday,128,Odtwarzacze DVD
2406,Szczecin,pl. Sawickiej,16,C620,X,5,17,Sunday,X,7,11,Tuesday,43,Odtwarzacze DVD
2407,Szczecin,pl. Sawickiej,16,C620,IV,27,7,Sunday,IV,29,0,Tuesday,41,Odtwarzacze DVD
2408,Police,pl. Dlugosza,70,C360,X,23,19,Thursday,X,28,5,Tuesday,106,Odtwarzacze DVD
2409,Gdynia,pl. Pilsudskiego,65,C516,VIII,23,4,Saturday,VIII,24,1,Sunday,21,Odtwarzacze DVD
2410,Mielec,al. Rubinowa,51,C516,IV,5,10,Saturday,IV,6,14,Sunday,28,Odtwarzacze DVD
2411,Radom,ul. Storczykowa,534,C620,X,1,7,Wednesday,X,2,3,Thursday,20,Odtwarzacze DVD
2412,Mielec,al. Rubinowa,51,C516,X,9,13,Thursday,X,9,20,Thursday,7,Odtwarzacze DVD
2413,Szczecin,pl. Agrestowa,371,C516,VIII,5,3,Tuesday,VIII,8,13,Friday,83,Odtwarzacze DVD
2414,Warszawa,al. Strazacka,25,C360,II,8,15,Friday,II,11,8,Monday,65,Odtwarzacze DVD
2415,Warszawa,al. Strazacka,25,C360,V,22,9,Thursday,V,24,20,Saturday,59,Odtwarzacze DVD
2416,Warszawa,al. Strazacka,25,C620,IX,10,6,Wednesday,IX,14,12,Sunday,102,Odtwarzacze DVD
2417,Mielec,al. Stroma,8,C516,II,29,23,Friday,III,1,16,Saturday,17,Odtwarzacze DVD
2418,Konin,al. Lazurowa,274,C620,VII,20,20,Sunday,VII,25,23,Friday,124,Odtwarzacze DVD
2419,Warszawa,pl. Sienkiewicza,75,C516,III,29,23,Saturday,IV,2,11,Wednesday,84,Odtwarzacze DVD
2420,Warszawa,pl. Sienkiewicza,75,C620,I,30,9,Wednesday,II,1,17,Friday,56,Odtwarzacze DVD
2421,Warszawa,al. Rzeczna,403,C620,II,20,21,Wednesday,II,24,17,Sunday,92,Odtwarzacze DVD
2422,Warszawa,al. Rzeczna,403,C620,II,20,16,Wednesday,II,24,2,Sunday,82,Odtwarzacze DVD
2423,Radom,pl. Chabrowa,25,C360,II,17,22,Sunday,II,21,23,Thursday,97,Odtwarzacze DVD
2424,Szczecin,ul. Wierzbowa,4,C360,I,7,7,Monday,I,8,13,Tuesday,30,Odtwarzacze DVD
2425,Warszawa,ul. Niecala,61,C516,VI,21,9,Saturday,VI,26,0,Thursday,111,Odtwarzacze DVD
2426,Radom,ul. Torowa,70,C620,X,8,15,Wednesday,X,10,16,Friday,49,Odtwarzacze DVD
2427,Mielec,pl. Cisowa,939,C360,III,25,5,Tuesday,III,27,14,Thursday,57,Odtwarzacze DVD
2428,Konin,ul. Sienkiewicza,979,C620,VIII,5,18,Tuesday,VIII,8,10,Friday,64,Odtwarzacze DVD
2429,Police,pl. Lotnicza,86,C516,VII,17,15,Thursday,VII,21,6,Monday,87,Odtwarzacze DVD
2430,Mielec,pl. Cisowa,939,C516,IX,1,13,Monday,IX,3,19,Wednesday,54,Odtwarzacze DVD
2431,Mielec,pl. Cisowa,939,C620,VI,11,14,Wednesday,VI,14,3,Saturday,61,Odtwarzacze DVD
2432,Mielec,pl. Cisowa,939,C360,II,1,6,Friday,II,3,18,Sunday,61,Odtwarzacze DVD
2433,Gdynia,ul. Niecala,91,C360,VIII,30,4,Saturday,IX,3,8,Wednesday,100,Odtwarzacze DVD
2434,Radom,ul. Kosciuszki,21,C620,II,27,3,Wednesday,III,1,3,Saturday,72,Odtwarzacze DVD
2435,Kutno,pl. Korczaka,49,C360,V,15,9,Thursday,V,18,1,Sunday,64,Odtwarzacze DVD
2436,Kutno,pl. Korczaka,49,C516,I,10,1,Thursday,I,12,2,Saturday,48,Odtwarzacze DVD
2437,Gdynia,ul. Okrzei,90,C620,VIII,23,7,Saturday,VIII,31,0,Sunday,185,Odtwarzacze DVD
2438,Radom,ul. Willowa,58,C516,VI,12,15,Thursday,VI,14,17,Saturday,50,Odtwarzacze DVD
2439,Gdynia,al. Jabloniowa,676,C620,I,22,6,Tuesday,I,22,10,Tuesday,4,Odtwarzacze DVD
2440,Gdynia,al. Jabloniowa,676,C620,IX,5,22,Friday,IX,6,19,Saturday,21,Odtwarzacze DVD
2441,Warszawa,pl. Zakole,779,C360,X,6,17,Monday,X,7,14,Tuesday,21,Odtwarzacze DVD
2442,Police,al. Sikorskiego,22,C620,VI,5,21,Thursday,VI,8,16,Sunday,67,Odtwarzacze DVD
2443,Gdynia,ul. Wierzbowa,26,C516,IV,2,2,Wednesday,IV,9,6,Wednesday,172,Odtwarzacze DVD
2444,Gdynia,al. Wilcza,461,C516,VIII,17,16,Sunday,VIII,18,22,Monday,31,Odtwarzacze DVD
2445,Police,ul. Ludowa,90,C620,IX,19,13,Friday,IX,22,12,Monday,71,Odtwarzacze DVD
2446,Radom,ul. zwirki i Wigury,43,C620,VI,18,1,Wednesday,VI,22,8,Sunday,103,Odtwarzacze DVD
2447,Gdynia,ul. Okrzei,90,C516,VI,2,2,Monday,VI,3,18,Tuesday,40,Odtwarzacze DVD
2448,Szczecin,pl. Okrezna,933,C620,X,26,10,Sunday,X,28,6,Tuesday,44,Odtwarzacze DVD
2449,Konin,ul. Mostowa,932,C620,X,13,21,Monday,X,14,2,Tuesday,5,Odtwarzacze DVD
2450,Szczecin,pl. Okrezna,933,C516,X,23,20,Thursday,X,25,15,Saturday,42,Odtwarzacze DVD
2451,Kutno,al. Tulipanowa,23,C516,I,18,23,Friday,I,19,11,Saturday,12,Odtwarzacze DVD
2452,Konin,al. Kwiatowa,5,C620,IX,20,18,Saturday,IX,21,6,Sunday,12,Odtwarzacze DVD
2453,Konin,ul. Mostowa,932,C360,X,12,13,Sunday,X,12,17,Sunday,5,Odtwarzacze DVD
2454,Warszawa,al. Mokra,49,C360,VIII,8,22,Friday,VIII,11,5,Monday,55,Odtwarzacze DVD
2455,Police,pl. Wodna,120,C516,VI,20,23,Friday,VI,21,14,Saturday,16,Odtwarzacze DVD
2456,Szczecin,al. Cyprysowa,868,C516,II,13,18,Wednesday,II,16,20,Saturday,73,Odtwarzacze DVD
2457,Police,al. Wiazowa,96,C360,II,29,20,Friday,III,1,13,Saturday,17,Odtwarzacze DVD
2458,Mielec,ul. Brzozowa,64,C516,III,14,20,Friday,III,16,8,Sunday,35,Odtwarzacze DVD
2459,Mielec,al. Tartaczna,169,C620,VI,29,21,Sunday,VII,4,11,Friday,110,Odtwarzacze DVD
2460,Kutno,al. zeromskiego,261,C620,II,27,14,Wednesday,III,1,11,Saturday,69,Odtwarzacze DVD
2461,Kutno,al. Wiatraczna,574,C516,VI,11,19,Wednesday,VI,13,21,Friday,50,Odtwarzacze DVD
2462,Gdynia,al. Reja,108,C360,I,2,20,Wednesday,I,3,10,Thursday,14,Odtwarzacze DVD
2463,Mielec,pl. Zielona,434,C620,X,24,22,Friday,X,25,7,Saturday,8,Odtwarzacze DVD
2464,Gdynia,pl. Okrzei,98,C620,VIII,20,10,Wednesday,VIII,21,4,Thursday,18,Odtwarzacze DVD
2465,Police,ul. Pomorska,20,C620,X,25,9,Saturday,X,29,10,Wednesday,97,Odtwarzacze DVD
2466,Szczecin,ul. Sosnowa,84,C620,V,31,0,Saturday,VI,1,10,Sunday,34,Odtwarzacze DVD
2467,Mielec,pl. Traugutta,98,C620,X,22,14,Wednesday,X,23,3,Thursday,14,Odtwarzacze DVD
2468,Radom,ul. Szpitalna,844,C516,IV,9,4,Wednesday,IV,13,9,Sunday,101,Odtwarzacze DVD
2469,Szczecin,al. Witosa,53,C360,VII,19,13,Saturday,VII,21,23,Monday,58,Odtwarzacze DVD
2470,Kutno,al. zeromskiego,261,C360,IV,30,16,Wednesday,V,1,15,Thursday,22,Odtwarzacze DVD
2471,Mielec,al. Wladyslawa lokietka,27,C360,VI,3,23,Tuesday,VI,4,18,Wednesday,19,Odtwarzacze DVD
2472,Radom,ul. Szmaragdowa,53,C620,V,10,15,Saturday,V,10,22,Saturday,7,Odtwarzacze DVD
2473,Szczecin,pl. Prusa,308,C516,VI,6,20,Friday,VI,9,8,Monday,60,Odtwarzacze DVD
2474,Radom,ul. Szmaragdowa,53,C516,V,5,18,Monday,V,6,9,Tuesday,15,Odtwarzacze DVD
2475,Radom,al. Torunska,30,C620,VII,3,7,Thursday,VII,4,8,Friday,25,Odtwarzacze DVD
2476,Warszawa,pl. Gajowa,90,C360,VII,28,8,Monday,VII,28,23,Monday,16,Odtwarzacze DVD
2477,Konin,al. Kwiatowa,5,C620,IX,25,2,Thursday,IX,27,18,Saturday,63,Odtwarzacze DVD
2478,Warszawa,pl. Gajowa,90,C516,VI,14,22,Saturday,VI,15,10,Sunday,12,Odtwarzacze DVD
2479,Radom,ul. Spoldzielcza,78,C516,II,4,15,Monday,II,7,0,Thursday,57,Odtwarzacze DVD
2480,Konin,pl. Glowackiego,32,C360,VIII,18,19,Monday,VIII,22,5,Friday,82,Odtwarzacze DVD
2481,Police,al. lanowa,48,C516,X,8,20,Wednesday,X,9,6,Thursday,9,Odtwarzacze DVD
2482,Police,pl. Jezynowa,578,C516,VIII,6,3,Wednesday,VIII,7,15,Thursday,36,Odtwarzacze DVD
2483,Konin,pl. Boczna,7,C620,VII,27,7,Sunday,VII,27,8,Sunday,1,Odtwarzacze DVD
2484,Gdynia,ul. Cmentarna,698,C516,VIII,27,8,Wednesday,VIII,28,2,Thursday,18,Odtwarzacze DVD
2485,Gdynia,ul. Cmentarna,698,C360,II,20,9,Wednesday,II,24,0,Sunday,86,Odtwarzacze DVD
2486,Mielec,al. Mostowa,25,C620,IV,22,3,Tuesday,IV,26,8,Saturday,101,Odtwarzacze DVD
2487,Szczecin,al. Zamkowa,88,C360,V,1,15,Thursday,V,2,8,Friday,17,Odtwarzacze DVD
2488,Szczecin,pl. Slowianska,29,C516,VIII,16,14,Saturday,VIII,18,6,Monday,39,Odtwarzacze DVD
2489,Gdynia,ul. Cmentarna,698,C620,VIII,10,19,Sunday,VIII,12,10,Tuesday,40,Odtwarzacze DVD
2490,Konin,pl. Perlowa,95,C360,III,23,22,Sunday,III,25,9,Tuesday,35,Odtwarzacze DVD
2491,Police,ul. Wiejska,42,C516,III,25,19,Tuesday,III,27,20,Thursday,50,Odtwarzacze DVD
2492,Warszawa,pl. Sokola,33,C360,IX,22,15,Monday,IX,23,15,Tuesday,24,Odtwarzacze DVD
2493,Warszawa,pl. Sokola,33,C516,VIII,21,4,Thursday,VIII,22,0,Friday,19,Odtwarzacze DVD
2494,Warszawa,pl. Spacerowa,1,C516,VI,23,8,Monday,VI,23,19,Monday,11,Odtwarzacze DVD
2495,Szczecin,pl. Slowianska,29,C516,V,29,17,Thursday,V,31,9,Saturday,40,Odtwarzacze DVD
2496,Szczecin,ul. Jodlowa,75,C516,VI,13,21,Friday,VI,19,1,Thursday,123,Odtwarzacze DVD
2497,Szczecin,pl. Slowianska,29,C620,IX,4,23,Thursday,IX,6,1,Saturday,26,Odtwarzacze DVD
2498,Police,al. Skladowa,831,C360,IX,8,1,Monday,IX,10,14,Wednesday,60,Odtwarzacze DVD
2499,Szczecin,ul. Slowianska,98,C620,III,15,8,Saturday,III,16,1,Sunday,17,Odtwarzacze DVD
2500,Konin,pl. Jagiellonska,1,C620,VIII,16,7,Saturday,VIII,17,17,Sunday,34,Odtwarzacze DVD
2501,Szczecin,al. Zamkowa,88,C620,IX,9,6,Tuesday,IX,12,3,Friday,69,Odtwarzacze DVD
2502,Szczecin,pl. Slowianska,29,C620,III,15,22,Saturday,III,17,23,Monday,50,Odtwarzacze DVD
2503,Police,pl. Wodna,120,C620,V,5,22,Monday,V,7,8,Wednesday,34,Odtwarzacze DVD
2504,Police,pl. Wodna,120,C516,VIII,29,1,Friday,VIII,29,4,Friday,2,Odtwarzacze DVD
2505,Police,pl. Wodna,120,C516,VI,11,11,Wednesday,VI,13,5,Friday,42,Odtwarzacze DVD
2506,Szczecin,al. Lelewela,27,C360,VIII,3,13,Sunday,VIII,4,8,Monday,19,Odtwarzacze DVD
2507,Radom,ul. Prusa,49,C516,VIII,18,4,Monday,VIII,21,0,Thursday,68,Odtwarzacze DVD
2508,Radom,pl. Kasztanowa,82,C620,IV,27,2,Sunday,IV,27,11,Sunday,8,Odtwarzacze DVD
2509,Gdynia,pl. Lubelska,7,C620,VII,22,23,Tuesday,VII,23,8,Wednesday,9,Odtwarzacze DVD
2510,Kutno,al. Torowa,74,C620,X,11,16,Saturday,X,12,0,Sunday,8,Odtwarzacze DVD
2511,Radom,al. Kosynierow,94,C620,IV,9,16,Wednesday,IV,10,12,Thursday,21,Odtwarzacze DVD
2512,Konin,ul. Orzechowa,54,C620,VII,14,6,Monday,VII,15,8,Tuesday,26,Odtwarzacze DVD
2513,Konin,ul. Orzechowa,54,C620,I,7,23,Monday,I,13,10,Sunday,131,Odtwarzacze DVD
2514,Konin,ul. Orzechowa,54,C360,IV,9,8,Wednesday,IV,9,16,Wednesday,9,Odtwarzacze DVD
2515,Police,ul. Sosnowa,967,C360,IV,29,19,Tuesday,V,2,4,Friday,57,Odtwarzacze DVD
2516,Konin,al. Drzymaly,90,C360,III,28,19,Friday,IV,1,9,Tuesday,85,Odtwarzacze DVD
2517,Konin,al. Drzymaly,90,C620,II,19,14,Tuesday,II,20,2,Wednesday,11,Odtwarzacze DVD
2518,Szczecin,ul. Dzialkowa,7,C620,VII,9,5,Wednesday,VII,10,8,Thursday,27,Odtwarzacze DVD
2519,Mielec,al. Jana,365,C620,III,2,8,Sunday,III,2,10,Sunday,2,Odtwarzacze DVD
2520,Radom,pl. lakowa,55,C620,III,8,22,Saturday,III,11,19,Tuesday,69,Odtwarzacze DVD
2521,Szczecin,pl. Slowianska,29,C620,I,18,1,Friday,I,20,7,Sunday,54,Odtwarzacze DVD
2522,Szczecin,pl. Powstancow slaskich,67,C360,VIII,21,13,Thursday,VIII,23,10,Saturday,45,Odtwarzacze DVD
2523,Konin,pl. Glowna,248,C360,II,22,2,Friday,II,23,21,Saturday,43,Odtwarzacze DVD
2524,Konin,pl. Glowna,248,C516,IV,17,10,Thursday,IV,19,14,Saturday,52,Odtwarzacze DVD
2525,Police,ul. Storczykowa,88,C620,IX,6,21,Saturday,IX,9,19,Tuesday,70,Odtwarzacze DVD
2526,Police,ul. Storczykowa,88,C516,II,20,20,Wednesday,II,23,0,Saturday,52,Odtwarzacze DVD
2527,Konin,pl. Glowna,248,C360,VI,28,13,Saturday,VII,1,7,Tuesday,66,Odtwarzacze DVD
2528,Mielec,ul. Pomorska,12,C360,IX,3,6,Wednesday,IX,3,13,Wednesday,7,Odtwarzacze DVD
2529,Police,pl. Dlugosza,70,C620,II,22,5,Friday,II,23,3,Saturday,23,Odtwarzacze DVD
2530,Police,pl. Dlugosza,70,C360,I,16,22,Wednesday,I,18,21,Friday,47,Odtwarzacze DVD
2531,Radom,ul. zwirki i Wigury,43,C516,V,10,6,Saturday,V,14,0,Wednesday,90,Odtwarzacze DVD
2532,Gdynia,pl. Wladyslawa lokietka,836,C620,VIII,30,5,Saturday,IX,2,6,Tuesday,73,Odtwarzacze DVD
2533,Szczecin,al. Bydgoska,63,C620,IV,29,16,Tuesday,V,1,9,Thursday,41,Odtwarzacze DVD
2534,Radom,ul. Storczykowa,534,C516,I,25,2,Friday,I,26,8,Saturday,30,Odtwarzacze DVD
2535,Warszawa,pl. Spacerowa,1,C516,IX,16,12,Tuesday,IX,17,8,Wednesday,20,Odtwarzacze DVD
2536,Mielec,al. Rubinowa,51,C516,X,9,18,Thursday,X,12,6,Sunday,60,Odtwarzacze DVD
2537,Szczecin,pl. Agrestowa,371,C516,IX,26,1,Friday,IX,28,5,Sunday,52,Odtwarzacze DVD
2538,Szczecin,pl. Robotnicza,526,C360,IX,21,13,Sunday,IX,23,13,Tuesday,49,Odtwarzacze DVD
2539,Mielec,al. Stroma,8,C620,III,2,8,Sunday,III,3,6,Monday,22,Odtwarzacze DVD
2540,Mielec,al. Stroma,8,C620,X,9,11,Thursday,X,12,14,Sunday,76,Odtwarzacze DVD
2541,Konin,ul. Orzechowa,54,C360,X,1,2,Wednesday,X,4,5,Saturday,75,Odtwarzacze DVD
2542,Kutno,al. zeromskiego,261,C516,IV,13,3,Sunday,IV,13,15,Sunday,12,Odtwarzacze DVD
2543,Szczecin,ul. Wierzbowa,4,C516,V,8,19,Thursday,V,8,21,Thursday,1,Odtwarzacze DVD
2544,Police,pl. Wrzosowa,47,C516,IX,22,14,Monday,IX,23,14,Tuesday,24,Odtwarzacze DVD
2545,Police,pl. Sportowa,85,C360,II,25,9,Monday,II,29,9,Friday,95,Odtwarzacze DVD
2546,Szczecin,ul. Wierzbowa,4,C516,VIII,1,21,Friday,VIII,3,3,Sunday,30,Odtwarzacze DVD
2547,Radom,pl. Chabrowa,25,C516,VIII,30,18,Saturday,IX,1,10,Monday,40,Odtwarzacze DVD
2548,Kutno,al. zeromskiego,261,C360,VIII,2,21,Saturday,VIII,4,21,Monday,47,Odtwarzacze DVD
2549,Mielec,pl. Cisowa,939,C620,III,21,8,Friday,III,21,11,Friday,4,Odtwarzacze DVD
2550,Kutno,al. Fredry,92,C620,VIII,12,21,Tuesday,VIII,15,18,Friday,69,Odtwarzacze DVD
2551,Kutno,al. Fredry,92,C516,IX,18,18,Thursday,IX,21,6,Sunday,60,Odtwarzacze DVD
2552,Kutno,al. Fredry,92,C516,III,1,2,Saturday,III,2,17,Sunday,40,Odtwarzacze DVD
2553,Kutno,pl. Korczaka,49,C516,III,31,6,Monday,IV,2,11,Wednesday,54,Odtwarzacze DVD
2554,Kutno,pl. Korczaka,49,C516,VI,22,13,Sunday,VI,26,21,Thursday,105,Odtwarzacze DVD
2555,Kutno,pl. Korczaka,49,C360,VII,27,15,Sunday,VII,29,9,Tuesday,41,Odtwarzacze DVD
2556,Kutno,pl. Korczaka,49,C516,V,21,12,Wednesday,V,23,13,Friday,50,Odtwarzacze DVD
2557,Konin,ul. Sienkiewicza,979,C360,IV,6,22,Sunday,IV,8,17,Tuesday,42,Odtwarzacze DVD
2558,Radom,ul. Willowa,58,C360,VIII,17,16,Sunday,VIII,19,18,Tuesday,50,Odtwarzacze DVD
2559,Konin,ul. Sienkiewicza,979,C360,VII,8,4,Tuesday,VII,8,6,Tuesday,3,Odtwarzacze DVD
2560,Gdynia,pl. Opolska,89,C620,III,10,19,Monday,III,11,2,Tuesday,7,Odtwarzacze DVD
2561,Mielec,al. Skrajna,17,C516,IV,26,18,Saturday,IV,29,22,Tuesday,75,Odtwarzacze DVD
2562,Mielec,al. Skrajna,17,C360,VIII,10,10,Sunday,VIII,13,0,Wednesday,62,Odtwarzacze DVD
2563,Warszawa,ul. Reymonta,952,C516,I,29,12,Tuesday,II,3,2,Sunday,109,Odtwarzacze DVD
2564,Warszawa,ul. Reymonta,952,C620,V,26,8,Monday,V,27,7,Tuesday,23,Odtwarzacze DVD
2565,Warszawa,ul. Reymonta,952,C620,VII,31,7,Thursday,VII,31,16,Thursday,9,Odtwarzacze DVD
2566,Mielec,al. Skrajna,17,C620,III,16,13,Sunday,III,19,12,Wednesday,71,Odtwarzacze DVD
2567,Warszawa,pl. Zakole,779,C620,III,22,9,Saturday,III,23,13,Sunday,29,Odtwarzacze DVD
2568,Konin,pl. Szeroka,11,C620,VII,21,22,Monday,VII,23,15,Wednesday,41,Odtwarzacze DVD
2569,Konin,ul. Mostowa,932,C360,X,13,11,Monday,X,14,8,Tuesday,21,Odtwarzacze DVD
2570,Gdynia,al. Wilcza,461,C516,VII,14,1,Monday,VII,15,13,Tuesday,35,Odtwarzacze DVD
2571,Gdynia,al. Wypoczynkowa,366,C360,II,11,13,Monday,II,12,12,Tuesday,23,Odtwarzacze DVD
2572,Gdynia,al. Wypoczynkowa,366,C620,III,30,20,Sunday,III,31,0,Monday,4,Odtwarzacze DVD
2573,Gdynia,pl. Opolska,89,C360,IV,18,4,Friday,IV,21,2,Monday,70,Odtwarzacze DVD
2574,Konin,ul. Perlowa,346,C360,IX,25,6,Thursday,IX,28,10,Sunday,76,Odtwarzacze DVD
2575,Konin,ul. Mostowa,932,C516,I,21,21,Monday,I,26,20,Saturday,119,Odtwarzacze DVD
2576,Szczecin,al. Bydgoska,63,C516,IV,10,6,Thursday,IV,11,4,Friday,22,Odtwarzacze DVD
2577,Police,ul. Ludowa,90,C620,V,7,13,Wednesday,V,10,2,Saturday,62,Odtwarzacze DVD
2578,Warszawa,al. Baltycka,54,C516,IV,7,9,Monday,IV,7,10,Monday,1,Odtwarzacze DVD
2579,Kutno,al. Tulipanowa,23,C516,III,16,3,Sunday,III,17,1,Monday,22,Odtwarzacze DVD
2580,Warszawa,al. Baltycka,54,C620,II,20,21,Wednesday,II,22,17,Friday,44,Odtwarzacze DVD
2581,Warszawa,al. Mokra,49,C516,V,9,21,Friday,V,11,7,Sunday,33,Odtwarzacze DVD
2582,Kutno,al. Willowa,14,C360,II,10,21,Sunday,II,15,6,Friday,105,Odtwarzacze DVD
2583,Police,ul. Powstancow,75,C360,VIII,10,7,Sunday,VIII,13,10,Wednesday,75,Odtwarzacze DVD
2584,Konin,pl. Rumiankowa,1,C516,IX,14,0,Sunday,IX,21,3,Sunday,171,Odtwarzacze DVD
2585,Radom,al. Sosnowa,732,C620,IV,22,7,Tuesday,IV,25,23,Friday,88,Odtwarzacze DVD
2586,Radom,al. Makuszynskiego,38,C360,V,9,22,Friday,V,10,12,Saturday,13,Odtwarzacze DVD
2587,Gdynia,ul. Cmentarna,698,C620,X,15,5,Wednesday,X,18,16,Saturday,84,Odtwarzacze DVD
2588,Szczecin,al. Cyprysowa,868,C516,I,29,4,Tuesday,I,29,9,Tuesday,5,Odtwarzacze DVD
2589,Kutno,pl. Lubelska,95,C516,V,28,4,Wednesday,V,30,1,Friday,44,Odtwarzacze DVD
2590,Gdynia,al. Reja,108,C620,VII,2,8,Wednesday,VII,9,1,Wednesday,161,Odtwarzacze DVD
2591,Gdynia,al. Reja,108,C620,IX,9,14,Tuesday,IX,10,13,Wednesday,23,Odtwarzacze DVD
2592,Mielec,pl. Mila,341,C360,IX,1,18,Monday,IX,3,12,Wednesday,42,Odtwarzacze DVD
2593,Mielec,pl. Zielona,434,C360,VI,1,10,Sunday,VI,1,19,Sunday,9,Odtwarzacze DVD
2594,Gdynia,pl. Okrzei,98,C516,VI,4,10,Wednesday,VI,4,15,Wednesday,4,Odtwarzacze DVD
2595,Mielec,pl. Zielona,434,C516,I,2,1,Wednesday,I,4,14,Friday,61,Odtwarzacze DVD
2596,Warszawa,ul. Robotnicza,81,C516,III,29,23,Saturday,III,30,2,Sunday,4,Odtwarzacze DVD
2597,Szczecin,ul. Sosnowa,84,C516,VII,24,9,Thursday,VII,24,16,Thursday,6,Odtwarzacze DVD
2598,Szczecin,ul. Sosnowa,84,C360,X,22,16,Wednesday,X,24,15,Friday,48,Odtwarzacze DVD
2599,Szczecin,ul. Sosnowa,84,C516,X,23,13,Thursday,X,27,16,Monday,99,Odtwarzacze DVD
2600,Mielec,pl. Traugutta,98,C620,VII,20,17,Sunday,VII,24,1,Thursday,80,Odtwarzacze DVD
2601,Radom,al. Poziomkowa,93,C360,VIII,15,9,Friday,VIII,16,13,Saturday,28,Odtwarzacze DVD
2602,Mielec,al. Wladyslawa lokietka,27,C620,IX,3,1,Wednesday,IX,4,4,Thursday,27,Odtwarzacze DVD
2603,Police,ul. Pomorska,20,C620,VI,1,20,Sunday,VI,3,6,Tuesday,34,Odtwarzacze DVD
2604,Radom,ul. Szmaragdowa,53,C360,I,22,20,Tuesday,I,23,18,Wednesday,21,Odtwarzacze DVD
2605,Police,ul. Pomorska,20,C516,VIII,17,17,Sunday,VIII,19,11,Tuesday,42,Odtwarzacze DVD
2606,Konin,pl. Lelewela,78,C620,II,12,2,Tuesday,II,12,17,Tuesday,16,Odtwarzacze DVD
2607,Police,al. lanowa,48,C360,V,31,15,Saturday,VI,3,15,Tuesday,73,Odtwarzacze DVD
2608,Mielec,pl. Hallera,391,C360,I,20,3,Sunday,I,22,22,Tuesday,67,Odtwarzacze DVD
2609,Police,pl. Jezynowa,578,C360,III,30,1,Sunday,IV,2,2,Wednesday,73,Odtwarzacze DVD
2610,Szczecin,al. Zamkowa,88,C360,VII,23,18,Wednesday,VII,25,6,Friday,37,Odtwarzacze DVD
